ID,Heb,Net Weight,Weight of package,Rus
100,טשה סלומון,,0.2,Теша
101,סלמון פרוס מעושן,1.8,,"Саломон нарезка х/к 1,8"
102,"סלמון פרוס0,1",0.1,,Саломон нарезка 100 гр вакуум
103,סלמון ברוסט,,0.2,Саломон бруст х/к
104,סלמון ברוסט בעישון קר וואקום,,0.15,Саломон бруст х/к вакуум
105,קלמארי( דיונון) בעישון חם בוואקום,,0.15,Кальмар вакуум г/к
111,סלמון פרוס מומלח,1.7,,"Саломон соленый нарезка 1,7"
113,",ששליק זנב",2,,Саломон хвосты
121,"סלמון פרוס חתוך 2,5ק""ג",2.5,,"Саломон куски 2,5 кг"
122,גרבלקס ברוסט בכבישה ביתית בוואקום,,0.15,Гравлакс бруст вакуум
126,גרבלקס ברוסט בכבישה ביתית,,0.2,Гравлакс бруст
127,"גרבלקס פרוס בכבישה ביתית 0,150",0.15,,Гравлакс вакуум 150 гр
110,גרבלקס פרוס עם שמיר 0.750 גר,0.75,,"Гравлакс вакуум 0,75 гр"
129,"סלמון פרוס 0,3",0.3,,Саломон нарезка 300 гр вакуум
132,"סלמון פרוס0,2 ק""ג,",0.2,,Саломон нарезка 200 гр вакуум
140,דג קטה (אלתית) בעישון קר,,0.2,Кета х/к
141,דג קטה חתוך בעישון קר בוואקום,,0.15,Кета х/к вакуум
151,דג פורל ים פרוס בעישון קר,1.5,,Форель нарезка х/к
152,פורל בעישון קר בוואקום,,0.15,форель вак
156,"דג פורל ים פרוס ביעשון קר 0,2",0.2,,"Форель х/к вакуум 0,2"
143,קלמארי בעישון חם,,0.2,Кальмар г/к
155,סטיק לוסוס,,0.2,Стейк лосося
158,"סלמון פרוס חתוך 3ק""ג",3,,Саломон куски 3 кг
207,"סלקה במלח ק""ג",2.5,,Салака соленая
252,שפרוטים בעישון חם/ קר,2.5,,Шпроты г/к
302,מקרל מעושנת בינוני,,0.2,Скумбрия х/к средняя
303,פלמידה בעישון קר 400+ (ואקום),,0.15,Скумбрия х/к средняя вакуум
307,"פלמידה פרוס בשמן ק""ג",2.5,,Скумбрия в масле
308,פיקלינג,,0.2,Пиклинг ( скумбрия 600+ г/к)
310,פלמידה בעישון קר גדולה,,0.2,Скумбрия х/к 600+
312,מקרוסקה מעושנת בוואקום,,0.15,Макроска (филе скумбрии г/к)
620,"טונה פרוסה בעישון קר 1,2",1.2,,Туна нарезка
401,"פילה הרינג בשמן ק""ג",2.5,,Филе сельди в масле
402,"פילה הרינג בוואקום0,2",0.2,,Филе сельди вакуум 200 гр
403,קיפרס בוואקום,,0.15,Киперс (филе сельди х/к)
405,"פילה הרינג כבוש ק""ג",2.8,,Филе сельди в маринаде кг
451,הרינג מלוח 350+,5,,Сельдь соленая 350+
453,רינגו (הרינג בעישון קר) בואקום,,0.15,Ринго (сельдь х/к) в вакууме
454,דג רינגו (הרינג בעישון קר),,0.2,Ринго (сельдь х/к)
455,הרינג מלוח בואקום,,0.15,Сельдь соленая вакуум
456,הרינג 350+ סוג 2,5,,Сельдь 350+ сорт 2
459,הרינג דונאי,5,,"Сельдь ""Дунайская"""
461,הרינג בעישון קר אלוטרי,,0.2,Сельдь Олюторская х/к ринго
501,לש מעושן,,0.4,Лещ х/к
504,וובלה יבש,,0.25,Вобла
509,הרינג אלוטרי מלוח,5,,Сельдь Олюторская
512,לש מיובש,,0.25,лещ вял
